"order_month","round"
2017-01-01,0.07
2017-02-01,0.09
2017-03-01,0.10
2017-04-01,0.09
2017-05-01,0.09
2017-06-01,0.09
2017-07-01,0.10
2017-08-01,0.07
2017-09-01,0.08
2017-10-01,0.08
2017-11-01,0.09
2017-12-01,0.04
2018-01-01,0.09
2018-02-01,0.10
2018-03-01,0.10
2018-04-01,0.11
2018-05-01,0.10
2018-06-01,0.10
2018-07-01,0.10
2018-08-01,0.07
2018-09-01,0.09
2018-10-01,0.09
2018-11-01,0.10
2018-12-01,0.05
2019-01-01,0.10
2019-02-01,0.11
2019-03-01,0.13
2019-04-01,0.13
2019-05-01,0.14
2019-06-01,0.13
2019-07-01,0.14
2019-08-01,0.10
2019-09-01,0.11
2019-10-01,0.12
2019-11-01,0.13
2019-12-01,0.05
2020-01-01,0.09
2020-02-01,0.10
2020-03-01,0.11
2020-04-01,0.10
2020-05-01,0.10
2020-06-01,0.11
2020-07-01,0.11
2020-08-01,0.08
2020-09-01,0.10
2020-10-01,0.11
2020-11-01,0.11
2020-12-01,0.06
2021-01-01,0.10
2021-02-01,0.11
2021-03-01,0.13
2021-04-01,0.13
2021-05-01,0.13
2021-06-01,0.13
2021-07-01,0.13
2021-08-01,0.10
2021-09-01,0.12
2021-10-01,0.12
2021-11-01,0.16
2021-12-01,0.00
