"reg_month","regs"
2017-01-01,2330
2017-02-01,1767
2017-03-01,1806
2017-04-01,1959
2017-05-01,1891
2017-06-01,1692
2017-07-01,1697
2017-08-01,1535
2017-09-01,1007
2017-10-01,1274
2017-11-01,1115
2017-12-01,1238
2018-01-01,1891
2018-02-01,1439
2018-03-01,1382
2018-04-01,1558
2018-05-01,1482
2018-06-01,1322
2018-07-01,1191
2018-08-01,1123
2018-09-01,700
2018-10-01,782
2018-11-01,842
2018-12-01,888
2019-01-01,1455
2019-02-01,996
2019-03-01,1118
2019-04-01,1192
2019-05-01,1058
2019-06-01,883
2019-07-01,873
2019-08-01,766
2019-09-01,532
2019-10-01,561
2019-11-01,510
2019-12-01,577
2020-01-01,797
2020-02-01,604
2020-03-01,675
2020-04-01,677
2020-05-01,648
2020-06-01,561
2020-07-01,539
2020-08-01,512
2020-09-01,317
2020-10-01,401
2020-11-01,368
2020-12-01,394
2021-01-01,613
2021-02-01,437
2021-03-01,462
2021-04-01,510
2021-05-01,499
2021-06-01,450
2021-07-01,449
2021-08-01,429
2021-09-01,250
2021-10-01,287
2021-11-01,318
2021-12-01,398
