"reg_month","rolling_regs"
2017-01-01,2330
2017-02-01,4097
2017-03-01,5903
2017-04-01,7862
2017-05-01,9753
2017-06-01,11445
2017-07-01,13142
2017-08-01,14677
2017-09-01,15684
2017-10-01,16958
2017-11-01,18073
2017-12-01,19311
2018-01-01,21202
2018-02-01,22641
2018-03-01,24023
2018-04-01,25581
2018-05-01,27063
2018-06-01,28385
2018-07-01,29576
2018-08-01,30699
2018-09-01,31399
2018-10-01,32181
2018-11-01,33023
2018-12-01,33911
2019-01-01,35366
2019-02-01,36362
2019-03-01,37480
2019-04-01,38672
2019-05-01,39730
2019-06-01,40613
2019-07-01,41486
2019-08-01,42252
2019-09-01,42784
2019-10-01,43345
2019-11-01,43855
2019-12-01,44432
2020-01-01,45229
2020-02-01,45833
2020-03-01,46508
2020-04-01,47185
2020-05-01,47833
2020-06-01,48394
2020-07-01,48933
2020-08-01,49445
2020-09-01,49762
2020-10-01,50163
2020-11-01,50531
2020-12-01,50925
2021-01-01,51538
2021-02-01,51975
2021-03-01,52437
2021-04-01,52947
2021-05-01,53446
2021-06-01,53896
2021-07-01,54345
2021-08-01,54774
2021-09-01,55024
2021-10-01,55311
2021-11-01,55629
2021-12-01,56027
